articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
EXT-8-5-2015_CLASS,115.4,115.4,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,110.5,110.5,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,110.5,110.5,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,0.5,0.5,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,0.76,0.76,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,0.77,0.77,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,0.21,0.21,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,0.63,0.62,mean,1.5873015873015885,MINOR_ERROR,NA
EXT-8-5-2015_CLASS,0.58,0.58,mean,0,MATCH,NA
EXT-8-5-2015_CLASS,< 1,0.8478,F,NA,MATCH,TRUE
EXT-8-5-2015_CLASS,10.14,10.14,x2,0,MATCH,NA
EXT-8-5-2015_CLASS,0.006,0.006,p,0,MATCH,NA
EXT-8-5-2015_CLASS,4.77,4.84,F,1.4675052410901528,MINOR_ERROR,NA
EXT-8-5-2015_CLASS,0.01,0.01,p,0,MATCH,NA
EXT-8-5-2015_CLASS,0.123,0.123,pes,0,MATCH,NA
EXT-8-5-2015_CLASS,2.51,2.51,t,0,MATCH,NA
EXT-8-5-2015_CLASS,0.016,0.016,p,0,MATCH,NA
EXT-8-5-2015_CLASS,0.74,0.73,d,1.3513513513513526,MINOR_ERROR,NA
EXT-8-5-2015_CLASS,2.81,2.85,t,1.4234875444839872,MINOR_ERROR,NA
EXT-8-5-2015_CLASS,0.007,0.007,p,0,MATCH,NA
EXT-8-5-2015_CLASS,0.83,0.82,d,1.204819277108435,MINOR_ERROR,NA
EXT-8-5-2015_CLASS,0.072,0.108,t,50.000000000000014,MAJOR_ERROR,NA
EXT-8-5-2015_CLASS,0.94,0.91,p,3.191489361702119,MINOR_ERROR,NA
EXT-8-5-2015_CLASS,0.02,0.03,d,49.999999999999986,MAJOR_ERROR,NA
